ATLAS_2010_I882098_d17-x01-y01,counts_error,xedges
0.08928,0.002081946204876581,0.5
0.08833,0.0016424676556937125,1.5
0.08111,0.0011236102527122115,2.5
0.07097,0.0006946221994724902,3.5
0.06035,0.00044721359549995795,4.5
0.0519,0.00031780497164141406,5.5
0.04516,0.00024041630560342616,6.5
0.03998,0.00018973665961010279,7.5
0.03595,0.00015231546211727815,8.5
0.03268,0.0001252996408614167,9.5
0.02968,8.602325267042626e-05,10.5
0.02746,6.403124237432849e-05,11.5
0.0253,5.099019513592785e-05,12.5
0.02345,5.099019513592785e-05,13.5
0.02173,6.403124237432849e-05,14.5
0.02018,7.810249675906654e-05,15.5
0.01877,8.94427190999916e-05,16.5
0.01745,0.00010770329614269009,17.5
0.01625,0.00012649110640673518,18.5
0.01512,0.00013601470508735442,19.5
0.0141,0.00015524174696260023,20.5
0.01311,0.00016492422502470644,21.5
0.01227,0.00017464249196572982,22.5
0.01133,0.00018248287590894662,23.5
0.01058,0.00018248287590894662,24.5
0.009784,0.00019349935400408963,25.5
0.00912,0.00019927117202445514,26.5
0.008522,0.00020407106605298066,27.5
0.00793,0.00020690335908341365,28.5
0.007331,0.00020677040407176265,29.5
0.006788,0.00020465825172711702,30.5
0.005844,0.00019849433241279208,31.5
0.00431,0.00018421997720117112,34.5
0.002355,0.00014108862463005302,39.5
0.000968,8.345759402235364e-05,49.5
0.0003751,4.2842152140152806e-05,59.5
0.0001327,1.9037857022259625e-05,69.5
2.884e-05,5.293656581230029e-06,79.5
2.247e-06,6.257036039531817e-07,99.5
0.0,0.0,120.5
